Datetime,Open,High,Low,Close,Volume
20-08-2013 09:15,8939.2002,9277.0498,8860.1504,9218.9502,60849000
21-08-2013 09:15,9652,9766.0996,9129.25,9264.4004,88355000
22-08-2013 09:15,9194.8496,9373.7998,9005.25,9268.9004,73296000
23-08-2013 09:15,9322.7998,9493.8496,9215.8496,9470.0996,53548000
26-08-2013 09:15,9529.7002,9586.6504,9294.0498,9373.5498,39801000
27-08-2013 09:15,9208.1504,9208.1504,8842.5,8870.5,54298000
28-08-2013 09:15,8729.25,8869.7002,8366.75,8760.8496,68036000
29-08-2013 09:15,8897,8958.3496,8759.8496,8904.5996,56814000
30-08-2013 09:15,8891.9004,9135.5498,8846.5498,9049.2002,79306000
02-09-2013 09:15,9112.7998,9233.5996,9086.75,9139.5,37748000
03-09-2013 09:15,9220.9502,9220.9502,8625.4004,8664.2002,47745000
04-09-2013 09:15,8688.6504,8916.75,8605.6504,8845.75,47969000
05-09-2013 09:15,9253.4502,9704.5996,9253.4502,9682.4004,95348000
06-09-2013 09:15,9746.6504,9989.8496,9568.5,9961.4004,67681000
10-09-2013 09:15,10084,10304.9,10084,10188.25,54668000
11-09-2013 09:15,10112.65,10409.15,9980.5,10369.1,62591000
12-09-2013 09:15,10338.3,10358.25,10070.95,10158.55,54840000
13-09-2013 09:15,10067.15,10272.4,10037.3,10180.45,50632000
16-09-2013 09:15,10418.5,10536.7,10175.05,10368.4,50014000
17-09-2013 09:15,10320.85,10334.3,10223.95,10279.6,34207000
18-09-2013 09:15,10327.15,10481.5,10241.95,10447.85,35046000
19-09-2013 09:15,10984.5,11219.45,10984.5,11148.65,91510000
20-09-2013 09:15,11163.95,11188.1,10409.8,10686.8,89816000
23-09-2013 09:15,10466.3,10509.55,10177.9,10211.7,54758000
24-09-2013 09:15,10063.05,10289.75,10046.7,10175.9,54963000
25-09-2013 09:15,10191.85,10232.45,9919.7002,10081.7,48261000
26-09-2013 09:15,10091.4,10189.4,10051.2,10098.25,45278000
27-09-2013 09:15,10131.65,10131.65,9883.9502,9899.75,34271000
30-09-2013 09:15,9783.9004,9815,9587.75,9617.7998,37041000
01-10-2013 09:15,9685.1504,9912.9502,9582.75,9883.2998,42985000
03-10-2013 09:15,9946.2998,10241.45,9888.7002,10222.95,41746000
04-10-2013 09:15,10171.45,10328.75,10111.75,10197.15,39283000
07-10-2013 09:15,10124.15,10124.15,9877.4502,10082.1,30275000
08-10-2013 09:15,10418.85,10451.15,10090.6,10141.45,41846000
09-10-2013 09:15,10004.4,10360.35,9947.25,10334.95,41709000
10-10-2013 09:15,10309.2,10372.05,10199.55,10288.95,31795000
11-10-2013 09:15,10423.6,10649.3,10307.9,10622.15,41439000
14-10-2013 09:15,10588.95,10706.8,10550,10665.25,37489000
15-10-2013 09:15,10738.2,10738.2,10339.1,10389.25,38033000
17-10-2013 09:15,10406.05,10416.2,10274.35,10336.55,42008000
18-10-2013 09:15,10387.3,10784,10387.3,10744.9,37464000
21-10-2013 09:15,10751.7,10871.75,10700.55,10797.55,32770000
22-10-2013 09:15,10743.8,10907.55,10707.85,10809.1,49088000
23-10-2013 09:15,10837.05,10912.8,10732.35,10880.65,48997000
24-10-2013 09:15,10839.45,11091.6,10839.45,10902.45,41760000
25-10-2013 09:15,10880.85,10951.75,10797.6,10896.5,30352000
28-10-2013 09:15,10924.45,11002.4,10752.35,10773.2,28172998
29-10-2013 09:15,10779.65,11268.2,10669,11241.65,53630000
30-10-2013 09:15,11284.85,11366.45,11211.5,11249.35,35825000
31-10-2013 09:15,11211.3,11512.5,11170.05,11473.15,79514000
01-11-2013 09:15,11472.2,11694.45,11443.6,11628.65,88547000
05-11-2013 09:15,11539.75,11736.2,11462.1,11498.9,58827000
06-11-2013 09:15,11510.4,11510.4,11269.95,11292.55,34779000
07-11-2013 09:15,11320.85,11398.6,11024.75,11054.9,44216000
08-11-2013 09:15,11011.05,11067,10841.6,10913.15,41960000
11-11-2013 09:15,10786.25,10940.5,10674.5,10758.45,40182000
12-11-2013 09:15,10755.65,10860.35,10543.15,10583.05,41555000
13-11-2013 09:15,10469.1,10652.3,10412.05,10523.35,55024000
14-11-2013 09:15,10660.65,10891.9,10660.65,10811.2,36310000
18-11-2013 09:15,10962.25,11156.6,10962.25,11142.3,35564000
19-11-2013 09:15,11159.05,11207.7,11107.35,11187.85,36556000
20-11-2013 09:15,11127.35,11156.5,10905.55,10967.15,34279000
21-11-2013 09:15,10866.3,10866.3,10657.85,10706.9,37510000
22-11-2013 09:15,10796.45,10820,10630.55,10677.35,31664000
25-11-2013 09:15,10780.6,11097.95,10780.6,11083.4,35909000
26-11-2013 09:15,11040.65,11133.4,10893.3,10909.35,66596000
27-11-2013 09:15,10941.6,10961.35,10827.75,10899.3,30065000
28-11-2013 09:15,10994.25,11062.15,10843,10906.75,30947000
29-11-2013 09:15,10941.6,11186.15,10941.6,11153.95,31900000
02-12-2013 09:15,11180.3,11347.45,11180.3,11284.35,25883000
03-12-2013 09:15,11250.7,11310.7,11174.5,11211.3,24262000
04-12-2013 09:15,11158.7,11216.05,11107.75,11156.75,27830000
05-12-2013 09:15,11469.35,11685.55,11469.35,11665.1,55085000
06-12-2013 09:15,11648.35,11770.65,11579.5,11720.2,39337000
09-12-2013 09:15,12206.95,12225.95,12007.3,12065.9,45077000
10-12-2013 09:15,12041,12067.45,11774.95,11843.45,37394000
11-12-2013 09:15,11747.45,11877.75,11687.6,11784.35,28285000
12-12-2013 09:15,11736.25,11781.7,11622.7,11635.5,26797000
13-12-2013 09:15,11483.85,11534.35,11349.85,11366.9,29830000
16-12-2013 09:15,11347.2,11440.85,11309.7,11372.95,25578000
17-12-2013 09:15,11412.7,11418.1,11178,11208.65,25524000
18-12-2013 09:15,11129.65,11572.3,11117.45,11357.9,49401000
19-12-2013 09:15,11505.55,11505.55,11040.15,11087.45,32128000
20-12-2013 09:15,11117.7,11318.55,11074.55,11292.35,24691000
23-12-2013 09:15,11258.65,11453.45,11258.65,11378.5,27366000
24-12-2013 09:15,11399.15,11405,11287.3,11330.65,23580000
26-12-2013 09:15,11335.8,11426.45,11317.45,11385.75,30304000
27-12-2013 09:15,11409.25,11514.45,11409.25,11459.7,21148000
30-12-2013 09:15,11532.6,11552.4,11355.05,11376,18523000
31-12-2013 09:15,11410.25,11427.85,11316.55,11385.25,16679000
01-01-2014 09:15,11418.9,11432.55,11361,11385.6,12088000
02-01-2014 09:15,11383.8,11578.9,11150.2,11183.2,39940000
03-01-2014 09:15,11098.25,11208,11052.6,11181.65,28243000
06-01-2014 09:15,11174.35,11174.35,10996.95,11049.05,20455000
07-01-2014 09:15,11097.8,11154.1,10892.15,11036.75,30270000
08-01-2014 09:15,11071.75,11122.75,10988.8,11053.7,33422000
09-01-2014 09:15,11068.9,11090.25,10925.15,10970.45,29447000
10-01-2014 09:15,10969.35,11056.9,10788.2,10805.3,35861000
13-01-2014 09:15,10814.65,11070.2,10814.65,11021.6,26062000
14-01-2014 09:15,10989.15,11065.65,10922.6,10948.9,21566000
15-01-2014 09:15,11000.2,11164.1,10986.1,11125.4,35897000
16-01-2014 09:15,11187.35,11192.8,11070,11092.55,22843000
17-01-2014 09:15,11080.1,11081.95,10893.75,10911.35,30587000
20-01-2014 09:15,10909.9,11022.45,10876.25,11007.5,17587000
21-01-2014 09:15,11067.05,11190.1,11036.4,11171.5,22365000
22-01-2014 09:15,11164.25,11248.35,11094.8,11207.35,21618000
23-01-2014 09:15,11183.75,11221.1,11122.35,11199,21112000
24-01-2014 09:15,11063.2,11132.7,10972.1,10982.4,26146000
27-01-2014 09:15,10802.3,10802.3,10520.9,10540.4,37240000
28-01-2014 09:15,10541.5,10708,10333.4,10507.6,46675000
29-01-2014 09:15,10609.9,10644.2,10406.95,10437.75,27897000
30-01-2014 09:15,10287.85,10314.25,10101.2,10153.15,47851000
31-01-2014 09:15,10193.55,10266.45,10130.3,10237.75,44122000
03-02-2014 09:15,10205.45,10222.65,10089.25,10102.1,30408000
04-02-2014 09:15,9983.6504,10222.1,9944,10191.2,35510000
05-02-2014 09:15,10215.65,10254.05,10112.5,10231.65,27702000
06-02-2014 09:15,10257.1,10321.5,10107.8,10205.2,34755000
07-02-2014 09:15,10311.95,10321.1,10180.85,10263.2,23140000
10-02-2014 09:15,10287.35,10310.3,10187.8,10213.9,17970000
11-02-2014 09:15,10242.1,10296.8,10200.6,10245.45,15231000
12-02-2014 09:15,10307.6,10395.15,10307.6,10348.8,24105000
13-02-2014 09:15,10360.7,10386.65,10113.8,10135.7,25804000
14-02-2014 09:15,10169,10229.45,10064.75,10203.75,28283000
17-02-2014 09:15,10217.15,10358,10205.8,10326.55,19999000
18-02-2014 09:15,10324.35,10618.85,10296.25,10575.2,26093000
19-02-2014 09:15,10548.35,10630.15,10520.3,10609.6,20191000
20-02-2014 09:15,10515.3,10525.7,10419.1,10428.3,24221000
21-02-2014 09:15,10429.3,10584.75,10429.3,10554.35,16428000
24-02-2014 09:15,10508.95,10711.65,10471.45,10683.5,21312000
25-02-2014 09:15,10742.15,10768.95,10611.75,10666.75,19065000
26-02-2014 09:15,10659.2,10758.65,10659.2,10730.4,20144000
28-02-2014 09:15,10793.6,10793.6,10688.95,10764.7,23184000
03-03-2014 09:15,10705.45,10836.2,10613,10651.95,24142000
04-03-2014 09:15,10661.4,10936.75,10661.4,10929.05,36108000
05-03-2014 09:15,10987.6,11122.55,10899.4,11098.8,46407000
06-03-2014 09:15,11147.6,11303.2,11117.25,11278.35,37216000
07-03-2014 09:15,11357.9,11947.5,11332.6,11884.75,70896000
10-03-2014 09:15,11784.55,12157.9,11784.55,12108.1,60334000
11-03-2014 09:15,12132,12285.45,11994.85,12043.15,55514000
12-03-2014 09:15,11997.85,12142.9,11887.75,12024.1,33138000
13-03-2014 09:15,12062.35,12308.7,12062.35,12141.45,34350000
14-03-2014 09:15,11984.5,12090.05,11867.15,12055.85,34689000
18-03-2014 09:15,12093.2,12268.75,12052.35,12114.85,38152000
19-03-2014 09:15,12190.85,12256.45,12132.4,12186.55,33280000
20-03-2014 09:15,12160.65,12160.65,11989.95,12017.25,22772000
21-03-2014 09:15,12083.45,12123.15,12043.4,12092.35,33487000
24-03-2014 09:15,12134.65,12423,12134.65,12408.15,30969000
25-03-2014 09:15,12403.65,12523.7,12394.3,12450,24971000
26-03-2014 09:15,12529.45,12570.6,12469.15,12518.35,36245000
27-03-2014 09:15,12560.9,12767.5,12513.1,12604.95,55372000
28-03-2014 09:15,12693.25,12787.5,12633.3,12754.7,48623000
31-03-2014 09:15,12855.5,12869.35,12660.05,12742.05,40633000
01-04-2014 09:15,12806.15,12806.15,12509.95,12588.5,37851000
02-04-2014 09:15,12674.35,12740.15,12542.35,12715.3,40381000
03-04-2014 09:15,12749.85,12754.75,12518,12563.85,35362000
04-04-2014 09:15,12523.3,12656.5,12430.85,12551.7,29592000
07-04-2014 09:15,12562.35,12615.35,12439.55,12506.45,27570000
09-04-2014 09:15,12593.15,12957.55,12548.45,12937.4,40088000
10-04-2014 09:15,12937.4,13055.6,12881.2,12949.4,38376000
11-04-2014 09:15,12822.25,12934.9,12777.95,12840.2,24950000
15-04-2014 09:15,12830.5,12831.6,12537.7,12579.9,27142000
16-04-2014 09:15,12557.4,12727.05,12514.75,12563.15,30571000
17-04-2014 09:15,12564.55,12819.1,12514.8,12787.25,32613000
21-04-2014 09:15,12845.3,13002.75,12838.85,12958.5,30120000
22-04-2014 09:15,12989.55,13040.15,12913.9,12987.1,24793000
23-04-2014 09:15,12961.35,13176.05,12957.9,13122.1,49608000
25-04-2014 09:15,13134.5,13268.6,12968.8,13034.5,40059000
28-04-2014 09:15,13038.95,13116,12927.75,13081.55,29681000
29-04-2014 09:15,13107.55,13124.3,12897.35,12910.55,28068000
30-04-2014 09:15,12946.1,13100.75,12738.6,12855.85,41074000
02-05-2014 09:15,12920.35,12995.6,12818.85,12842,19440000
05-05-2014 09:15,12841.4,12981.6,12773.05,12880.65,32997000
06-05-2014 09:15,12961.5,13012.55,12917.15,12966.05,24624000
07-05-2014 09:15,12944.9,13017,12877.75,12938.2,25759000
08-05-2014 09:15,12982.75,13095.5,12952.5,13037.4,23549000
09-05-2014 09:15,13023.4,13814.25,13017.9,13750.5,50619000
12-05-2014 09:15,13801,14152.45,13801,14085.05,44360000
13-05-2014 09:15,14269.25,14367.75,14105.65,14165.55,62513000
14-05-2014 09:15,14124.55,14320.75,14063.6,14207.1,55148000
15-05-2014 09:15,14186.1,14301.3,14159.1,14236.55,55346000
16-05-2014 09:15,14675.6,15742.05,14468.1,14853,103893000
19-05-2014 09:15,15032,15305.65,15032,15222.15,57768000
20-05-2014 09:15,15351.65,15362.55,15087.7,15111.2,46750000
21-05-2014 09:15,15126.6,15126.6,14857.5,14952.1,36915000
22-05-2014 09:15,15009.9,15204.45,14938.25,15055.55,37475000
23-05-2014 09:15,15091.7,15321.25,14972.6,15285.5,53883000
26-05-2014 09:15,15431.95,15568.05,14969.25,15175.9,52768000
27-05-2014 09:15,15141.5,15158.4,14934.95,15084,30637000
28-05-2014 09:15,15075.6,15198.35,15032.45,15173.35,26976000
29-05-2014 09:15,15169.25,15254.5,15007.5,15030.3,44813000
30-05-2014 09:15,15093.1,15108.8,14709.3,14793.4,43255000
02-06-2014 09:15,14786.45,15321.8,14770,15287.25,33470000
03-06-2014 09:15,15335.85,15414.05,15148.5,15257.5,36315000
04-06-2014 09:15,15221.3,15396.9,15171.15,15333.4,32577000
05-06-2014 09:15,15250.6,15337.15,15152.4,15282.15,34685000
06-06-2014 09:15,15405.75,15576.05,15320.75,15543.15,39720000
09-06-2014 09:15,15625.4,15725.8,15522.85,15567.4,41917000
10-06-2014 09:15,15585.4,15585.4,15337.85,15427.8,30468000
11-06-2014 09:15,15436.05,15660.05,15367.6,15450.55,40211000
12-06-2014 09:15,15456.25,15518.75,15293.4,15464.85,26800000
13-06-2014 09:15,15506.75,15599.75,15083.9,15106.9,33037000
16-06-2014 09:15,15055.2,15091.3,14858.9,15030,32728000
17-06-2014 09:15,14982.35,15393.75,14933.25,15373.2,36260000
18-06-2014 09:15,15369.5,15461.55,15128.45,15220.4,36076000
19-06-2014 09:15,15282.05,15332.75,14976.15,15067.4,26242000
20-06-2014 09:15,15064.45,15195.55,14978.5,14997.65,21875000
23-06-2014 09:15,15014.2,15148,14940.35,15076.35,25014000
24-06-2014 09:15,15142.35,15341.95,15142.35,15309.5,29138000
25-06-2014 09:15,15320.95,15320.95,15221.15,15237.85,23370000
26-06-2014 09:15,15247.1,15333.25,15020.65,15050,37292000
27-06-2014 09:15,15092.25,15117.15,14946.85,14992.35,20185000
30-06-2014 09:15,15059.1,15329.95,15059.1,15241.9,29759000
01-07-2014 09:15,15288.8,15365.65,15261.15,15321.35,24831000
02-07-2014 09:15,15464.55,15519.3,15414.85,15490.35,23653000
03-07-2014 09:15,15512.75,15554.7,15431.5,15451.65,22303000
04-07-2014 09:15,15458.75,15582.65,15305,15556.15,20781000
07-07-2014 09:15,15589.5,15592.8,15349.2,15367.6,33217000
08-07-2014 09:15,15437.4,15437.4,14889.35,14997.5,26417000
09-07-2014 09:15,15008.25,15093.45,14827.1,14931.1,30660000
10-07-2014 09:15,14940,15371.05,14621.95,14821.7,48100000
11-07-2014 09:15,14796.9,14918.85,14406.65,14447.2,33016000
14-07-2014 09:15,14508.1,14561.75,14338.65,14489.75,28201000
15-07-2014 09:15,14601.85,14919.55,14601.85,14891.9,32855000
16-07-2014 09:15,15033.95,15299.8,15006.45,15265.45,39302000
17-07-2014 09:15,15258.95,15301.95,15156,15269.05,26113000
18-07-2014 09:15,15169,15463.15,15089.3,15389.35,30493000
21-07-2014 09:15,15510,15554.9,15355.35,15385.95,26139000
22-07-2014 09:15,15440.35,15473.35,15306.35,15427.35,21711000
23-07-2014 09:15,15513.45,15626.9,15398.7,15463,31131000
24-07-2014 09:15,15471.35,15559.1,15410.2,15534.35,28219000
25-07-2014 09:15,15494.85,15571.9,15272.45,15322.25,27780000
